lon,lat,FIV3(0.1)-0.02,FIV3(0.1)-0.1,FIV3(1.0)-0.02,FIV3(1.0)-0.1
-122.45477,37.31114,4.319543E+01,2.322598E+01,2.617762E+02,1.302392E+02
-122.45477,37.32014,5.002347E+01,2.500180E+01,2.780197E+02,1.338531E+02
-122.45476,37.32913,4.963780E+01,2.568590E+01,2.837262E+02,1.348090E+02
-122.45476,37.33812,4.149316E+01,2.468015E+01,2.682730E+02,1.357335E+02
-122.45475,37.34712,4.640134E+01,2.476952E+01,2.798626E+02,1.361160E+02
-122.45474,37.35611,5.116419E+01,2.671927E+01,2.951783E+02,1.463879E+02
-122.45474,37.36510,4.902790E+01,2.550434E+01,3.016081E+02,1.415178E+02
-122.45473,37.37409,5.192001E+01,2.654627E+01,3.073874E+02,1.470124E+02
-122.45473,37.38309,5.196629E+01,2.892539E+01,3.178178E+02,1.465399E+02
-122.45472,37.39208,5.544340E+01,2.932468E+01,3.483446E+02,1.540444E+02
-122.45472,37.40107,5.676173E+01,2.864006E+01,3.058409E+02,1.529110E+02
-122.45471,37.41007,5.653337E+01,2.969530E+01,3.355163E+02,1.517321E+02
-122.45471,37.41906,6.151648E+01,3.047460E+01,3.757691E+02,1.688670E+02
